date,average_30d,average_90d,average_180d,index
2026-01-05,0.0375514,0.039893200000000004,0.041844799999999994,1.22709563
2026-01-06,0.0374747,0.0398438,0.041809599999999995,1.22722174
2026-01-07,0.037384400000000005,0.0397922,0.0417728,1.22734651
2026-01-08,0.0372841,0.0397383,0.0417354,1.22747095
2026-01-09,0.0371871,0.0396813,0.0416974,1.22759506
2026-01-12,0.0370834,0.0395097,0.0415789,1.22796743
2026-01-13,0.0370735,0.0394479,0.041539200000000005,1.22809159
2026-01-14,0.0370668,0.0393761,0.0415,1.22821611
2026-01-15,0.03703,0.0393021,0.041462700000000005,1.22834029
2026-01-16,0.03702,0.0392439,0.0414264,1.22846518
2026-01-20,0.0369962,0.0390025,0.0412823,1.22896339
2026-01-21,0.0369895,0.0389385,0.0412449,1.22908765
2026-01-22,0.0369728,0.0388701,0.041203500000000004,1.22921158
2026-01-23,0.0369661,0.0388029,0.0411627,1.22933587
2026-01-26,0.0369227,0.0386009,0.0410419,1.22970979
2026-01-27,0.0368894,0.038528,0.041004500000000006,1.22983481
2026-01-28,0.0368559,0.0384596,0.0409631,1.22995984
2026-01-29,0.0368125,0.0384147,0.040923499999999995,1.23008421
2026-01-30,0.0367924,0.0383509,0.0408844,1.23020892
2026-02-02,0.036642,0.038179199999999996,0.0407727,1.23058619
2026-02-03,0.0366221,0.0381445,0.040735900000000005,1.23071232
2026-02-04,0.036602,0.0381198,0.0406984,1.23083847
2026-02-05,0.0365853,0.0380895,0.0406588,1.23096326
2026-02-06,0.0365819,0.0380582,0.040619199999999994,1.23108807
2026-02-09,0.0365785,0.0379583,0.0404984,1.2314615
2026-02-10,0.0365753,0.0379225,0.0404587,1.23158567
2026-02-11,0.036578599999999996,0.0378854,0.04041960000000001,1.23171054
2026-02-12,0.0365819,0.037846199999999997,0.040379500000000006,1.23183542
2026-02-13,0.0365819,0.0378126,0.0403392,1.23196032
2026-02-17,0.0365952,0.0376779,0.040186099999999995,1.23246132
2026-02-18,0.0366154,0.0376554,0.040151599999999996,1.23258833
2026-02-19,0.036642100000000004,0.0376353,0.0401159,1.23271604
2026-02-20,0.0366521,0.0376062,0.040076799999999996,1.23284171
2026-02-23,0.0366721,0.0375119,0.0399561,1.23321772
2026-02-24,0.0366755,0.0374727,0.0399164,1.2333431
2026-02-25,0.0366822,0.0374301,0.0398785,1.23346883
2026-02-26,0.0366856,0.0373875,0.0398406,1.23359458
2026-02-27,0.0366889,0.0373371,0.039802699999999996,1.23372034
2026-03-02,0.0367122,0.037189,0.0396877,1.23409868
2026-03-03,0.0367223,0.0371554,0.0396491,1.23422586
2026-03-04,0.036729,0.037127400000000005,0.0396089,1.23435271
2026-03-05,0.0367223,0.0370993,0.0395665,1.23447854
2026-03-06,0.0367123,0.037069200000000004,0.0395235,1.23460405
2026-03-09,0.0367155,0.0369727,0.0393948,1.23497957
2026-03-10,0.036719,0.036941299999999996,0.0393529,1.23510479
2026-03-11,0.036719,0.036912099999999996,0.0393093,1.23522967
2026-03-12,0.0367223,0.0369099,0.0392652,1.23535457
2026-03-13,0.0367223,0.0369077,0.039221599999999995,1.23547982
2026-03-16,0.036719,0.0368919,0.0390873,1.23585561
2026-03-17,0.0367326,0.036892999999999995,0.0390488,1.23598263
2026-03-18,0.0367294,0.0368886,0.039021,1.23610794
2026-03-19,0.036716,0.0368841,0.0389916,1.23623224
2026-03-20,0.0366859,0.0368797,0.0389622,1.23635655
2026-03-23,0.036619,0.0368639,0.038875,1.23672952
2026-03-24,0.0366057,0.0368594,0.0388461,1.23685388
2026-03-25,0.0365957,0.0368561,0.0388149,1.23697859
2026-03-26,0.036589,0.0368538,0.0387855,1.23710367
2026-03-27,0.0365823,0.0368416,0.0387567,1.23722909
2026-03-30,0.0365387,0.0367967,0.0386638,1.23760336
2026-03-31,0.0365221,0.0367877,0.0386315,1.23772815
2026-04-01,0.0365221,0.0367664,0.038602,1.23785467
2026-04-02,0.0365021,0.0367418,0.0385721,1.23798018
2026-04-06,0.0364882,0.0367069,0.0384582,1.23848362
2026-04-07,0.0364883,0.036705800000000004,0.0384316,1.23860919
2026-04-08,0.0364783,0.0367024,0.0384027,1.23873374
2026-04-09,0.0364583,0.0366968,0.0383711,1.23885727
2026-04-10,0.0364349,0.036689,0.0383383,1.23898012
2026-04-13,0.036398,0.0366789,0.0382443,1.23935285
2026-04-14,0.0363914,0.036676600000000004,0.0382069,1.23947782
2026-04-15,0.0363947,0.0366789,0.0381707,1.23960383
2026-04-16,0.0364014,0.0366856,0.038144700000000004,1.23973192
2026-04-17,0.0364081,0.036688,0.0381159,1.23985831
2026-04-20,0.0364381,0.036688,0.0380241,1.24023543
2026-04-21,0.036441499999999995,0.0366868,0.0379913,1.24036049
2026-04-22,0.036444899999999995,0.0366868,0.037956699999999996,1.24048556
2026-04-23,0.0364516,0.0366868,0.0379228,1.24061098
2026-04-24,0.0364583,0.036686899999999995,0.0378895,1.24073677
2026-04-27,0.036478199999999995,0.0366891,0.0377852,1.24111519
2026-04-28,0.0364883,0.0366891,0.0377507,1.24124137
2026-04-29,0.036491699999999995,0.0366891,0.0377281,1.24136688
2026-04-30,0.036491699999999995,0.0366868,0.0376947,1.24149205
2026-05-01,0.036485,0.0366847,0.0376631,1.24161826
2026-05-04,0.0364685,0.03667,0.0375821,1.24199489
2026-05-05,0.0364586,0.036663299999999996,0.0375662,1.24212012
2026-05-06,0.0364453,0.036659899999999995,0.0375493,1.24224503
2026-05-07,0.0364319,0.0366555,0.0375312,1.2423696
2026-05-08,0.036425200000000005,0.0366511,0.0375126,1.24249383
2026-05-11,0.0364351,0.0366386,0.0374542,1.24286658
2026-05-12,0.0364319,0.036633,0.0374327,1.24299087
2026-05-13,0.0364285,0.0366274,0.0374101,1.24311517
2026-05-14,0.0364152,0.0366207,0.0373898,1.24323913
2026-05-15,0.0363817,0.0366096,0.0373677,1.24336207
2026-05-18,0.0362513,0.0365726,0.037297500000000004,1.2437299
2026-05-19,0.0362113,0.0365524,0.037276,1.24385186
2026-05-20,0.0361645,0.0365278,0.0372534,1.24397313
2026-05-21,0.036121,0.0365087,0.0372291,1.24409407
2026-05-22,0.0360809,0.036492,0.037205300000000004,1.24421537
2026-05-26,0.035943499999999996,0.0364413,0.0371062,1.24470615
2026-05-27,0.0359335,0.0364369,0.0370825,1.24483166
2026-05-28,0.0359234,0.036432400000000004,0.0370548,1.24495718
2026-05-29,0.0359167,0.0364257,0.037026500000000004,1.24508236
2026-06-01,0.0359033,0.0364055,0.036949499999999996,1.245459
2026-06-02,0.0359067,0.0363999,0.0369325,1.24558528
2026-06-03,0.0359034,0.0363954,0.0369161,1.24571087
2026-06-04,0.0358967,0.0363898,0.0368981,1.24583579
2026-06-05,0.0358967,0.0363865,0.0368806,1.24596107
2026-06-08,0.0359233,0.0363797,0.0368285,1.24633797
2026-06-09,0.0359335,0.0363786,0.0368132,1.24646364
2026-06-10,0.0359335,0.0363741,0.0368098,1.24658829
2026-06-11,0.0359301,0.0363674,0.0368053,1.2467126
2026-06-12,0.0359301,0.0363618,0.036801400000000005,1.24683727
2026-06-15,0.0360136,0.036356099999999995,0.0367923,1.24721652
2026-06-16,0.0360605,0.0363606,0.0367923,1.24734436
2026-06-17,0.0360872,0.0363617,0.0367906,1.24747013
2026-06-18,0.0361206,0.0363629,0.0367889,1.24759592
2026-06-22,0.0362573,0.0363627,0.0367786,1.24809773
2026-06-23,0.0362776,0.0363605,0.0367758,1.24822289
2026-06-24,0.0363011,0.036358299999999996,0.0367735,1.2483484
2026-06-25,0.0363245,0.036354899999999996,0.0367657,1.24847393
2026-06-26,0.036327899999999996,0.036356099999999995,0.0367589,1.24860016
2026-06-29,0.0363211,0.036352699999999995,0.0367373,1.24897683
2026-06-30,0.0363179,0.0363459,0.0367232,1.24910242
2026-07-01,0.0363346,0.0363493,0.0367125,1.2492301
2026-07-02,0.0363379,0.0363494,0.0367074,1.24935711
2026-07-06,0.0363608,0.0363415,0.0366904,1.2498624
2026-07-07,0.0363609,0.036342599999999996,0.0366892,1.24998843
2026-07-08,0.0363576,0.0363459,0.0366881,1.25011412
2026-07-09,0.0363409,0.0363471,0.0366847,1.25023844
2026-07-10,0.036317499999999996,0.0363382,0.0366785,1.25036103
2026-07-13,0.0362539,0.0363157,0.0366626,1.25073093
2026-07-14,0.0362373,0.0363089,0.0366604,1.25085601
2026-07-15,0.0362306,0.0362989,0.0366587,1.25098213
2026-07-16,0.0362139,0.0362955,0.0366582,1.25110862
